C:\Users\user\Desktop\Luka Suhadolnik - Arminov BioL\5. december 2022\05-12-2022\1 M KOH Titripur\RDE10 - HEA-N-AO 50V 5m 10.11.22 FIB STEM\teflonski holder\3 OER O2 2 mVs 5000 RPM_02_CV_C01.mpr
Ewe/V vs. SCE	<I>/mA
1,535391330718994E+000	3,983740160077980E+001
1,537089824676514E+000	4,178112054837595E+001
1,538797736167908E+000	4,442947933150322E+001
1,540499329566956E+000	4,453192763637014E+001
1,542222380638123E+000	4,693448065406528E+001
1,543884038925171E+000	4,968696935991883E+001
1,545573949813843E+000	5,278674521875109E+001
1,547327756881714E+000	5,437423510708015E+001
1,549009442329407E+000	5,510165303894757E+001
1,550675034523010E+000	5,905280497094850E+001
1,552378535270691E+000	5,936775799769043E+001
1,554057121276855E+000	6,197859414412937E+001
1,555754780769348E+000	6,278256788659189E+001
1,557471275329590E+000	6,608117549599103E+001
1,559140920639038E+000	6,785246509248418E+001
1,560846567153931E+000	7,369154930923958E+001
1,562514781951904E+000	7,154655545021762E+001
1,564228534698486E+000	7,432964191826636E+001
1,565921068191528E+000	7,607362127525062E+001
1,567605376243591E+000	8,137330894204479E+001
1,569322705268860E+000	8,301376016769791E+001
1,570990443229675E+000	8,168019793644953E+001
1,572720766067505E+000	8,727946938340619E+001
1,574416041374207E+000	8,861129066853300E+001
1,576101183891296E+000	9,240920921405268E+001
1,577794194221497E+000	9,364777891652693E+001
1,579501867294312E+000	9,851232207641993E+001
1,581192970275879E+000	1,002274442233102E+002
1,582883000373840E+000	1,015891281381239E+002
1,584535241127014E+000	1,043291540917325E+002
1,586231708526611E+000	1,048705053187826E+002
1,587994098663330E+000	1,104078106369466E+002
1,589639544487000E+000	1,111947065347701E+002
1,591317534446716E+000	1,151094066828024E+002
1,592997431755066E+000	1,174423862283188E+002
1,594700813293457E+000	1,194583487307086E+002
1,596439123153687E+000	1,207562442624035E+002
1,598105669021606E+000	1,218961641244731E+002
1,599397778511047E+000	1,254570821263396E+002
1,599684000015259E+000	1,301880817235073E+002
1,598922014236450E+000	1,256360311917341E+002
1,597176551818848E+000	1,235305042376629E+002
1,595502734184265E+000	1,192172859235988E+002
1,593800902366638E+000	1,173929555218949E+002
1,592105627059937E+000	1,139291265617928E+002
1,590410709381104E+000	1,138932694020659E+002
1,588765144348145E+000	1,111966944195968E+002
1,587064623832703E+000	1,089714319018901E+002
1,585343241691589E+000	1,049748957365352E+002
1,583649992942810E+000	1,046569720240632E+002
1,581942558288574E+000	1,001179371323028E+002
1,580261826515198E+000	9,686365670077157E+001
1,578571677207947E+000	9,356618726738634E+001
1,576875805854797E+000	9,420589453279632E+001
1,575194239616394E+000	8,951861900075460E+001
1,573500394821167E+000	8,822153559576481E+001
1,571816086769104E+000	8,522021454711077E+001
1,570115089416504E+000	8,559877006907581E+001
1,568403482437134E+000	8,323208962821582E+001
1,566742777824402E+000	8,187534389037370E+001
1,564999818801880E+000	7,842997107501662E+001
1,563335537910461E+000	7,537454071892364E+001
1,561631083488464E+000	7,442008308656762E+001
1,559971094131470E+000	7,171839956942392E+001
1,558249711990356E+000	7,096025207995194E+001
1,556576013565063E+000	6,584219208064326E+001
1,554837822914124E+000	6,635675110543292E+001
1,553179621696472E+000	6,214969055647725E+001
1,551481962203979E+000	6,261175005098733E+001
1,549775958061218E+000	6,102158849901650E+001
1,548100709915161E+000	5,836195664579787E+001
1,546401262283325E+000	5,557931682357651E+001
1,544717431068420E+000	5,179278818605485E+001
1,543001651763916E+000	5,301957099076105E+001
1,541323900222778E+000	5,098232112982441E+001
1,539633035659790E+000	4,859483735843931E+001
1,537922143936157E+000	4,632084850004753E+001
1,536192893981934E+000	4,375018471777958E+001
1,534523248672485E+000	4,406570838355117E+001
1,532836318016052E+000	4,090512863967803E+001
1,531123995780945E+000	3,953776188794697E+001
1,529441237449646E+000	3,698375353165738E+001
1,527724266052246E+000	3,705107586124387E+001
1,526028156280518E+000	3,408125392489325E+001
1,524333834648132E+000	3,239868981084396E+001
1,522600650787354E+000	3,128411007256403E+001
1,520911335945129E+000	2,990945923117209E+001
1,519192218780518E+000	2,787482222533760E+001
1,517529964447021E+000	2,682826307540734E+001
1,515816569328308E+000	2,583122521834372E+001
1,514131546020508E+000	2,367312613782730E+001
1,512420177459717E+000	2,255932530423274E+001
1,510721802711487E+000	2,097311506886092E+001
1,509031295776367E+000	1,944939093280237E+001
1,507347106933594E+000	1,922079231221727E+001
1,505661725997925E+000	1,721410924807904E+001
1,503920078277588E+000	1,633486934887690E+001
1,502260088920593E+000	1,563793555030743E+001
1,500549674034119E+000	1,445719196940445E+001
1,498853564262390E+000	1,347444501275609E+001
1,497152686119080E+000	1,275475323782403E+001
1,495437741279602E+000	1,170610817594583E+001
1,493752479553223E+000	1,116409374530333E+001
1,492083787918091E+000	1,010160808676613E+001
1,490350484848022E+000	9,271389795773700E+000
1,488669991493225E+000	8,559239336089306E+000
1,486967206001282E+000	7,942315608900330E+000
1,485282182693481E+000	7,200159751207082E+000
1,483551383018494E+000	6,586422353774161E+000
1,481873154640198E+000	5,985698677878514E+000
1,480197429656982E+000	5,413786650672961E+000
1,478468775749207E+000	5,012615079448722E+000
1,476775646209717E+000	4,578116408096278E+000
1,475114822387695E+000	4,126000063637548E+000
1,473416447639465E+000	3,721937630710572E+000
1,471711635589600E+000	3,360646053761716E+000
1,469979643821716E+000	3,030575869765336E+000
1,468284964561462E+000	2,711787213533920E+000
1,466581106185913E+000	2,493176259932685E+000
1,464910268783569E+000	2,218636510553212E+000
1,463216900825500E+000	1,979946293760946E+000
1,461517691612244E+000	1,791481074548898E+000
1,459810495376587E+000	1,611577215809618E+000
1,458101272583008E+000	1,448707045451457E+000
1,456407189369202E+000	1,277565386031197E+000
1,454710125923157E+000	1,133678049145381E+000
1,453030109405518E+000	1,001671936123453E+000
1,451313376426697E+000	8,869779320568565E-001
1,449621438980103E+000	7,739613376422625E-001
1,447904825210571E+000	6,865396820309257E-001
1,446208953857422E+000	5,900597034752191E-001
1,444501996040344E+000	5,231283840891532E-001
1,442801713943481E+000	4,474536491936153E-001
1,441110253334045E+000	3,912781758949955E-001
1,439404010772705E+000	3,418200188034550E-001
1,437735438346863E+000	2,940348629644745E-001
1,436030387878418E+000	2,547748317763334E-001
1,434343695640564E+000	2,109951136497017E-001
1,432631731033325E+000	1,851058810908164E-001
1,430923938751221E+000	1,460489927914401E-001
1,429212331771851E+000	1,237288212056404E-001
1,427528977394104E+000	1,065807380583803E-001
1,425832271575928E+000	8,657125344651107E-002
1,424125194549561E+000	7,277087260497139E-002
1,422421455383301E+000	4,908305176357675E-002
1,420724868774414E+000	4,076827847715681E-002
1,419030070304871E+000	2,859456093981489E-002
1,417327880859375E+000	2,186346907878939E-002
1,415634870529175E+000	1,549396303996547E-002
1,413934469223022E+000	1,161363224850021E-002
1,412230014801025E+000	4,098156910368340E-003
1,410506725311279E+000	-1,396418538172206E-002
1,408818721771240E+000	-1,482590577043322E-002
1,407117486000061E+000	-1,766051007822142E-002
1,405424833297729E+000	-1,860731506094854E-002
