voltage;current
1.19996514;-0.41746758684820057
1.20076468;-0.4477018467258758
1.20236429;-0.45607875766017414
1.20406388;-0.4649708562862164
1.2057635100000001;-0.4746042612224451
1.2074630800000001;-0.4849034778011982
1.20916267;-0.4935290054627073
1.2108623;-0.501920724583938
1.21256187;-0.5117771509297623
1.21426108;-0.5197234439057015
1.21596067;-0.5262933559007571
1.2176603;-0.5358372413591811
1.2193599000000002;-0.5479030422573969
1.22105949;-0.557041632213924
1.22275909;-0.5692789886247551
1.22445866;-0.5794463036169031
1.22615828;-0.5891583869973939
1.22785791;-0.602099133199198
1.22955727;-0.6126759699027046
1.23125669;-0.6219717989696474
1.23295631;-0.6336081049119698
1.23465591;-0.6433989901415
1.23635545;-0.6567461843295443
1.2380550700000001;-0.6715780188911102
1.23975467;-0.6844936522155449
1.24145424;-0.6983760875322316
1.2431539200000001;-0.712511479359982
1.2448534900000001;-0.7279380865023862
1.24655267;-0.7433818319445393
1.24825223;-0.7587685115601746
1.2499518900000002;-0.7725579419501408
1.25165149;-0.7883572408753484
1.25335105;-0.8051120556335147
1.25505068;-0.8239649864349949
1.25675025;-0.8429858644507495
1.25844987;-0.8631623352310709
1.26014947;-0.8846114271299764
1.26184886;-0.9044482660866842
1.26354828;-0.9249802540698541
1.26524787;-0.9490937184688623
1.26694747;-0.9714458911137739
1.26864704;-0.9958325281730388
1.2703466300000001;-1.0188047732607357
1.27204626;-1.0410809136775943
1.27374583;-1.0646751035633455
1.27544545;-1.09101980293152
1.27714466;-1.1152136266151271
1.27884426;-1.139941941592736
1.28054383;-1.169315641423529
1.28224342;-1.192773669678273
1.28394308;-1.2203557359631438
1.2856425900000001;-1.2433141919361483
1.2873422700000001;-1.265152032693377
1.28904184;-1.2876548218747257
1.29074141;-1.3098339526350213
1.2924406400000001;-1.3334112156997355
1.29414024;-1.3539100960181076
1.29583981;-1.3765136257404111
1.29753946;-1.3972436045453291
1.2992390600000001;-1.413577492510245
1.30093863;-1.4231581706503795
1.30263828;-1.4374178713971106
1.30433785;-1.4529815152460492
1.30603745;-1.4587430551913612
1.30773684;-1.4714106053930502
1.30943625;-1.4763970482747562
1.31113585;-1.476022513264032
1.31283542;-1.4786368770870153
1.3145350100000002;-1.4729890230091272
1.31623467;-1.470258160576101
1.31793418;-1.4650797550195451
1.3196338300000001;-1.453580590642244
1.3213334300000001;-1.4399347751550275
1.32303282;-1.4255498772398194
1.3247322400000001;-1.4052750231979603
1.3264318;-1.3842689350159438
1.32813143;-1.3576351027509888
1.329831;-1.331707503582176
1.33153062;-1.3009738473677321
1.3332302500000002;-1.2723351017183464
1.3349298200000002;-1.2437719273655419
1.33662941;-1.1988196738937804
1.33832904;-1.1594594973223802
1.34002822;-1.1198984731608157
1.34172782;-1.0864546354206388
1.3434274400000001;-1.0428312344374806
1.34512704;-1.0001694559266656
1.34682661;-0.9607917064917045
1.34852623;-0.924949994994654
1.3502258;-0.8858273322430561
1.35192545;-0.8424961336890735
1.35362502;-0.8051550226552356
1.3553244100000001;-0.7676860047695082
1.3570238300000002;-0.7273091998464878
1.35872342;-0.694103611374077
1.36042299;-0.6506634797931657
1.36212259;-0.6151978049806041
1.36382221;-0.5816937619798632
1.3655218100000002;-0.5463845485384454
1.36722144;-0.5134485853414071
1.36892097;-0.48320568225759747
1.37062057;-0.45172753064270815
1.37231984;-0.4186714796209877
1.37401941;-0.3930114467313025
1.37571903;-0.3682767549133576
1.37741863;-0.34264050067134005
1.37911817;-0.31565971502960205
1.38081782;-0.29161535726923304
1.38251736;-0.27061519394742406
1.38421696;-0.24964851808995212
1.38591661;-0.22989101674185414
1.38761579;-0.2081435137196679
1.38931545;-0.18976085679867255
1.39101502;-0.17166352684089112
1.39271461;-0.1528629446228302
1.39441421;-0.1344266049566552
1.39611383;-0.11744814442082695
1.3978134;-0.09729301794260642
1.399513;-0.08434323616377822
1.40121259;-0.06302634744376816
1.4029118;-0.04386739717506092
1.40461143;-0.022845454972168437
1.406311;-0.0039018542367755408
1.40801059;0.01884354224917431
1.40971022;0.0437706492947352
1.41140979;0.06675096075336015
1.4131094100000001;0.09073368226319821
1.41480898;0.11749402586899092
1.41650858;0.14957909419133786
1.4182078200000001;0.18013310754773038
1.4199073800000002;0.22060435392875608
1.42160707;0.2600254156005588
1.42330655;0.30201179221831836
1.42500617;0.35082023357797154
1.42670574;0.4034794204764464
1.4284053700000001;0.4666252084737796
1.4301049300000002;0.5373562308923087
1.43180456;0.6129492258001463
1.43350395;0.7058218796152209
1.43520357;0.8049419698370994
1.43690296;0.9119029745422832
1.43860259;1.0374837014800649
1.4403021599999999;1.1824377856587767
1.44200172;1.3483262106054035
1.44370141;1.5312804370322617
1.44540098;1.7413961826864095
1.44710054;1.9755664743942756
