Ewe/V	<I>/mA	time/s	cycle number	
-1,4991651E-001	4,404779523611069E-002	4,106999896248453E+000	1,000000000000000E+000
-1,4901604E-001	2,544330588734742E-002	4,111399896137300E+000	1,000000000000000E+000
-1,4731380E-001	2,482193973719410E-002	4,119999895920046E+000	1,000000000000000E+000
-1,4562836E-001	2,827378481088089E-002	4,128399895707844E+000	1,000000000000000E+000
-1,4389592E-001	3,169105732831690E-002	4,136999895490590E+000	1,000000000000000E+000
-1,4221543E-001	3,572182620955600E-002	4,145399895278388E+000	1,000000000000000E+000
-1,4049488E-001	3,856780466994708E-002	4,153999895061133E+000	1,000000000000000E+000
-1,3882260E-001	4,164077674504377E-002	4,162399894848932E+000	1,000000000000000E+000
-1,3710144E-001	4,500058287594599E-002	4,170999894631677E+000	1,000000000000000E+000
-1,3541329E-001	4,755066190700741E-002	4,179399894419475E+000	1,000000000000000E+000
-1,3368855E-001	5,018776962533611E-002	4,187999894202221E+000	1,000000000000000E+000
-1,3200800E-001	5,304757752310252E-002	4,196399893990019E+000	1,000000000000000E+000
-1,3029788E-001	5,612388512199695E-002	4,204999893772765E+000	1,000000000000000E+000
-1,2862520E-001	5,856237353582416E-002	4,213399893560563E+000	1,000000000000000E+000
-1,2692139E-001	6,145007842642403E-002	4,221999893343309E+000	1,000000000000000E+000
-1,2522201E-001	6,411126525417821E-002	4,230399893131107E+000	1,000000000000000E+000
-1,2351031E-001	6,652234184584782E-002	4,238999892913853E+000	1,000000000000000E+000
-1,2183447E-001	6,897299135780499E-002	4,247399892701651E+000	1,000000000000000E+000
-1,2012727E-001	7,135449059242083E-002	4,255999892484397E+000	1,000000000000000E+000
-1,1845382E-001	7,405860443468559E-002	4,264399892272195E+000	1,000000000000000E+000
-1,1672781E-001	7,636094222907597E-002	4,272999892054941E+000	1,000000000000000E+000
-1,1503434E-001	7,923887673605400E-002	4,281399891842739E+000	1,000000000000000E+000
-1,1330606E-001	8,130253942654286E-002	4,289999891625484E+000	1,000000000000000E+000
-1,1163273E-001	8,387694504563156E-002	4,298399891413283E+000	1,000000000000000E+000
-1,0991801E-001	8,667928852592077E-002	4,306999891196028E+000	1,000000000000000E+000
-1,0824520E-001	8,907938580960084E-002	4,315399890983826E+000	1,000000000000000E+000
-1,0651436E-001	9,160467133697281E-002	4,323999890766572E+000	1,000000000000000E+000
