Ewe/V	<I>/mA	time/s	cycle number	
-1,4992033E-001	-3,448759205639362E-003	5,554699859676475E+001	1,000000000000000E+000
-1,4902391E-001	-3,615608121246325E-003	5,563699859449116E+001	1,000000000000000E+000
-1,4731443E-001	-2,938902652182319E-003	5,580699859019660E+001	1,000000000000000E+000
-1,4560243E-001	-2,541366516038038E-003	5,597699858590204E+001	1,000000000000000E+000
-1,4389008E-001	-2,173095732311068E-003	5,614699858160748E+001	1,000000000000000E+000
-1,4219877E-001	-1,720353599194612E-003	5,631689857731544E+001	1,000000000000000E+000
-1,4051007E-001	-1,238141112967888E-003	5,648679857302341E+001	1,000000000000000E+000
-1,3881217E-001	-7,237428618076403E-004	5,665679856872885E+001	1,000000000000000E+000
-1,3711642E-001	-2,090322659958326E-004	5,682679856443428E+001	1,000000000000000E+000
-1,3540049E-001	3,330207357506798E-004	5,699669856014225E+001	1,000000000000000E+000
-1,3369091E-001	8,816158372291112E-004	5,716659855585021E+001	1,000000000000000E+000
-1,3200723E-001	1,416763747970760E-003	5,733659855155565E+001	1,000000000000000E+000
-1,3030490E-001	1,990175018064408E-003	5,750659854726109E+001	1,000000000000000E+000
-1,2860364E-001	2,559725889127452E-003	5,767659854296653E+001	1,000000000000000E+000
-1,2691824E-001	3,115043572158929E-003	5,784649853867450E+001	1,000000000000000E+000
-1,2521911E-001	3,693860387210465E-003	5,801639853438246E+001	1,000000000000000E+000
-1,2353100E-001	4,264433069259943E-003	5,818639853008790E+001	1,000000000000000E+000
-1,2181960E-001	4,851611656054702E-003	5,835639852579334E+001	1,000000000000000E+000
-1,2013026E-001	5,391915847666053E-003	5,852629852150130E+001	1,000000000000000E+000
-1,1842775E-001	5,953386498341796E-003	5,869619851720927E+001	1,000000000000000E+000
-1,1673165E-001	6,511356322464801E-003	5,886619851291471E+001	1,000000000000000E+000
-1,1502564E-001	7,082866117170440E-003	5,903619850862015E+001	1,000000000000000E+000
-1,1332702E-001	7,666818794896107E-003	5,920609850432811E+001	1,000000000000000E+000
-1,1162161E-001	8,244221334236884E-003	5,937599850003608E+001	1,000000000000000E+000
-1,0994032E-001	8,792511962296690E-003	5,954599849574151E+001	1,000000000000000E+000
-1,0823333E-001	9,343981599938267E-003	5,971599849144695E+001	1,000000000000000E+000
-1,0651574E-001	9,900872624105748E-003	5,988599848715239E+001	1,000000000000000E+000
-1,0482111E-001	1,047166175522987E-002	6,005589848286036E+001	1,000000000000000E+000
-1,0311972E-001	1,107985527613936E-002	6,022579847856832E+001	1,000000000000000E+000
-1,0142659E-001	1,162280921666284E-002	6,039579847427376E+001	1,000000000000000E+000
-1,0022566E-001	1,201744188877037E-002	6,051579847124231E+001	1,000000000000000E+000
-9,9864475E-002	1,203660709275439E-002	6,055619847022172E+001	1,000000000000000E+000
-1,0072169E-001	5,952903823223721E-003	6,064619846794812E+001	1,000000000000000E+000
-1,0240752E-001	1,561699024835314E-003	6,081619846365356E+001	1,000000000000000E+000
-1,0411497E-001	-1,027957231652971E-003	6,098609845936153E+001	1,000000000000000E+000
-1,0581525E-001	-2,978812390800892E-003	6,115599845506949E+001	1,000000000000000E+000
-1,0752366E-001	-4,570262981187205E-003	6,132599845077493E+001	1,000000000000000E+000
