Ewe/V	<I>/mA	time/s	cycle number	
-1,4993562E-001	5,402003414928913E-003	2,542639935767511E+001	1,000000000000000E+000
-1,4902329E-001	1,762326258185135E-003	2,547139935653831E+001	1,000000000000000E+000
-1,4732516E-001	1,653837706033390E-003	2,555639935439103E+001	1,000000000000000E+000
-1,4562537E-001	2,074053434799196E-003	2,564139935224375E+001	1,000000000000000E+000
-1,4392282E-001	2,611444057850226E-003	2,572639935009647E+001	1,000000000000000E+000
-1,4221190E-001	3,181023449693995E-003	2,581139934794919E+001	1,000000000000000E+000
-1,4051245E-001	3,768996427381710E-003	2,589639934580191E+001	1,000000000000000E+000
-1,3882793E-001	4,431111452071285E-003	2,598139934365463E+001	1,000000000000000E+000
-1,3711691E-001	5,150565460445219E-003	2,606639934150735E+001	1,000000000000000E+000
-1,3539912E-001	5,851634253324231E-003	2,615129933936259E+001	1,000000000000000E+000
-1,3369879E-001	6,518850298085632E-003	2,623619933721784E+001	1,000000000000000E+000
-1,3201392E-001	7,222691859039648E-003	2,632119933507056E+001	1,000000000000000E+000
-1,3031481E-001	7,962298314721172E-003	2,640619933292328E+001	1,000000000000000E+000
-1,2861788E-001	8,627990907674188E-003	2,649119933077600E+001	1,000000000000000E+000
-1,2691605E-001	9,445146591782999E-003	2,657619932862872E+001	1,000000000000000E+000
-1,2522638E-001	1,014325420293882E-002	2,666119932648144E+001	1,000000000000000E+000
-1,2351631E-001	1,084414383590881E-002	2,674619932433416E+001	1,000000000000000E+000
-1,2182713E-001	1,160044157196746E-002	2,683119932218688E+001	1,000000000000000E+000
-1,2013190E-001	1,228634830071826E-002	2,691609932004212E+001	1,000000000000000E+000
-1,1843374E-001	1,301885524922650E-002	2,700099931789737E+001	1,000000000000000E+000
-1,1673357E-001	1,378979947202469E-002	2,708599931575009E+001	1,000000000000000E+000
-1,1503354E-001	1,453434524488079E-002	2,717099931360281E+001	1,000000000000000E+000
-1,1332931E-001	1,524045839150429E-002	2,725599931145553E+001	1,000000000000000E+000
-1,1162592E-001	1,602775180539801E-002	2,734099930930824E+001	1,000000000000000E+000
