EC-Lab ASCII FILE
Nb header lines : 61                          

Cyclic Voltammetry

Run on channel : 1 (SN 1153)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Ewe,I filtering : 50 kHz
Safety Limits :
	Do not start on E overload
Channel : Grounded
Acquisition started on : 12/20/2024 11:49:19.340
Technique started on : 12/20/2024 11:49:26.551
Loaded Setting File :  C:\Users\lab10\Desktop\Andraž Stariha\T20-6_ED-PP-Fe-1-1.5V-50-10-60m\6 CV for ECSA.mps
Saved on :
	File : 4 CV for ECSA_05_CV_C01.mpr
	Directory : C:\Users\lab10\Desktop\Andraž Stariha\IMT16-Fe-3_ED-PP-Co-1-1.5V-50-10-60m\
	Host : 178.172.20.122
Device : SP-200 (SN 0067)
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.52 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0,241 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Volume (V) : 0,001 cm³
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0,150              
vs.                 Ref                 
dE/dt               100,000             
dE/dt unit          mV/s                
E1 (V)              0,050               
vs.                 Ei                  
Step percent        85                  
N                   17                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             10 mA               
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   
E2 (V)              -0,050              
vs.                 Ei                  
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Ei                  

Ewe/V	<I>/mA	time/s	cycle number	
-1,4995091E-001	3,863051533699036E-002	7,210599817844923E+000	1,000000000000000E+000
-1,4901805E-001	1,820932070313580E-002	7,219599817617564E+000	1,000000000000000E+000
-1,4732613E-001	1,651403594405565E-002	7,236599817188107E+000	1,000000000000000E+000
-1,4563124E-001	1,831661588585126E-002	7,253599816758651E+000	1,000000000000000E+000
-1,4391685E-001	2,061693315226887E-002	7,270599816329195E+000	1,000000000000000E+000
-1,4221121E-001	2,252144488647900E-002	7,287599815899739E+000	1,000000000000000E+000
-1,4051497E-001	2,463399215139361E-002	7,304599815470283E+000	1,000000000000000E+000
-1,3881014E-001	2,640944965332898E-002	7,321599815040827E+000	1,000000000000000E+000
-1,3711524E-001	2,842066224820894E-002	7,338599814611371E+000	1,000000000000000E+000
-1,3540517E-001	3,026377701189642E-002	7,355599814181915E+000	1,000000000000000E+000
-1,3371982E-001	3,210331162335933E-002	7,372599813752458E+000	1,000000000000000E+000
-1,3201690E-001	3,389456592776718E-002	7,389599813323002E+000	1,000000000000000E+000
-1,3032094E-001	3,562650914682325E-002	7,406599812893546E+000	1,000000000000000E+000
-1,2862314E-001	3,736292214671283E-002	7,423599812464090E+000	1,000000000000000E+000
-1,2692095E-001	3,914553474533056E-002	7,440599812034634E+000	1,000000000000000E+000
-1,2523942E-001	4,088284170938994E-002	7,457599811605178E+000	1,000000000000000E+000
-1,2353639E-001	4,260644003625214E-002	7,474599811175722E+000	1,000000000000000E+000
-1,2183670E-001	4,419144859275548E-002	7,491599810746266E+000	1,000000000000000E+000
-1,2013940E-001	4,595915811114537E-002	7,508599810316809E+000	1,000000000000000E+000
-1,1844293E-001	4,758708303779746E-002	7,525599809887353E+000	1,000000000000000E+000
-1,1673406E-001	4,929100846311496E-002	7,542599809457897E+000	1,000000000000000E+000
-1,1504070E-001	5,099106269335613E-002	7,559599809028441E+000	1,000000000000000E+000
-1,1333419E-001	5,269200951806852E-002	7,576599808598985E+000	1,000000000000000E+000
-1,1163391E-001	5,438371571108325E-002	7,593599808169529E+000	1,000000000000000E+000
-1,0994212E-001	5,613920313044218E-002	7,610599807740073E+000	1,000000000000000E+000
-1,0823265E-001	5,779991321105667E-002	7,627599807310617E+000	1,000000000000000E+000
-1,0653807E-001	5,952202274056639E-002	7,644599806881160E+000	1,000000000000000E+000
-1,0483100E-001	6,110851806079198E-002	7,661599806451704E+000	1,000000000000000E+000
-1,0312833E-001	6,298739282283394E-002	7,678599806022248E+000	1,000000000000000E+000
-1,0143677E-001	6,447017134632921E-002	7,695599805592792E+000	1,000000000000000E+000
-1,0029522E-001	6,553663529921328E-002	7,707099805302278E+000	1,000000000000000E+000
-9,9948555E-002	6,614608690142632E-002	7,710599805213860E+000	1,000000000000000E+000
-9,9807143E-002	6,770069152116776E-002	7,710999805203755E+000	1,000000000000000E+000
-1,0072983E-001	4,507068421116878E-002	7,719999804976396E+000	1,000000000000000E+000
-1,0243441E-001	2,801293423544854E-002	7,736999804546940E+000	1,000000000000000E+000
-1,0412381E-001	1,796134640699176E-002	7,753999804117484E+000	1,000000000000000E+000
-1,0582351E-001	1,010933545831003E-002	7,770999803688028E+000	1,000000000000000E+000
-1,0754170E-001	3,907602306696848E-003	7,787999803258572E+000	1,000000000000000E+000
-1,0922896E-001	-1,526067508443417E-003	7,804999802829116E+000	1,000000000000000E+000
-1,1091576E-001	-6,273338490245778E-003	7,821999802399660E+000	1,000000000000000E+000
-1,1265486E-001	-1,048055076853410E-002	7,838999801970203E+000	1,000000000000000E+000
-1,1433471E-001	-1,416588539950672E-002	7,855999801540747E+000	1,000000000000000E+000
-1,1603236E-001	-1,759549904363655E-002	7,872999801111291E+000	1,000000000000000E+000
-1,1774436E-001	-2,069606664008453E-002	7,889999800681835E+000	1,000000000000000E+000
-1,1944321E-001	-2,366042888024811E-002	7,906999800252379E+000	1,000000000000000E+000
-1,2114898E-001	-2,625670295947197E-002	7,923999799822923E+000	1,000000000000000E+000
-1,2283673E-001	-2,867891942878464E-002	7,940999799393467E+000	1,000000000000000E+000
-1,2453678E-001	-3,105464326381491E-002	7,957999798964011E+000	1,000000000000000E+000
-1,2622894E-001	-3,321786114065595E-002	7,974999798534554E+000	1,000000000000000E+000
-1,2792706E-001	-3,522400398287562E-002	7,991999798105098E+000	1,000000000000000E+000
-1,2961374E-001	-3,713835082089623E-002	8,008999797675642E+000	1,000000000000000E+000
-1,3130304E-001	-3,905716856024799E-002	8,025999797246186E+000	1,000000000000000E+000
-1,3300581E-001	-4,069135303507165E-002	8,042999796816730E+000	1,000000000000000E+000
-1,3471219E-001	-4,246442652402027E-002	8,059999796387274E+000	1,000000000000000E+000
-1,3643421E-001	-4,404704859189179E-002	8,076999795957818E+000	1,000000000000000E+000
-1,3811289E-001	-4,560851112182729E-002	8,093999795528362E+000	1,000000000000000E+000
-1,3981867E-001	-4,723882204598306E-002	8,110999795098905E+000	1,000000000000000E+000
-1,4151633E-001	-4,869983949174606E-002	8,127999794669449E+000	1,000000000000000E+000
-1,4321840E-001	-5,011347079016548E-002	8,144999794239993E+000	1,000000000000000E+000
-1,4492474E-001	-5,147017368290108E-002	8,161999793810537E+000	1,000000000000000E+000
-1,4662099E-001	-5,275862739654258E-002	8,178999793381081E+000	1,000000000000000E+000
-1,4832796E-001	-5,421278933499685E-002	8,195999792951625E+000	1,000000000000000E+000
-1,5002052E-001	-5,530864353324098E-002	8,212899792524695E+000	1,000000000000000E+000
-1,5171684E-001	-5,666540735001013E-002	8,229799792097765E+000	1,000000000000000E+000
-1,5342773E-001	-5,778665762409202E-002	8,246799791668309E+000	1,000000000000000E+000
-1,5512362E-001	-5,892936404416105E-002	8,263799791238853E+000	1,000000000000000E+000
-1,5682819E-001	-5,996447546749528E-002	8,280799790809397E+000	1,000000000000000E+000
-1,5851961E-001	-6,107469832932089E-002	8,297799790379941E+000	1,000000000000000E+000
-1,6022025E-001	-6,222574996354524E-002	8,314799789950484E+000	1,000000000000000E+000
-1,6191243E-001	-6,337501879170260E-002	8,331799789521028E+000	1,000000000000000E+000
-1,6362120E-001	-6,438658200931902E-002	8,348799789091572E+000	1,000000000000000E+000
-1,6532710E-001	-6,536268437048398E-002	8,365799788662116E+000	1,000000000000000E+000
-1,6702618E-001	-6,630450610828109E-002	8,382799788232660E+000	1,000000000000000E+000
-1,6871463E-001	-6,755540709855246E-002	8,399799787803204E+000	1,000000000000000E+000
-1,7040156E-001	-6,847338704756134E-002	8,416799787373748E+000	1,000000000000000E+000
-1,7210256E-001	-6,942713472744799E-002	8,433799786944292E+000	1,000000000000000E+000
-1,7381345E-001	-7,050009333033813E-002	8,450799786514835E+000	1,000000000000000E+000
-1,7551136E-001	-7,153699535410828E-002	8,467799786085379E+000	1,000000000000000E+000
-1,7722036E-001	-7,241920913293098E-002	8,484799785655923E+000	1,000000000000000E+000
-1,7892805E-001	-7,342690826408194E-002	8,501799785226467E+000	1,000000000000000E+000
-1,8061386E-001	-7,421523417724502E-002	8,518799784797011E+000	1,000000000000000E+000
-1,8232480E-001	-7,536449835970349E-002	8,535799784367555E+000	1,000000000000000E+000
-1,8403092E-001	-7,630453375168134E-002	8,552799783938099E+000	1,000000000000000E+000
-1,8573837E-001	-7,731014058663277E-002	8,569799783508643E+000	1,000000000000000E+000
-1,8744010E-001	-7,808326617305239E-002	8,586799783079186E+000	1,000000000000000E+000
-1,8911862E-001	-7,904148613670192E-002	8,603799782649730E+000	1,000000000000000E+000
-1,9081296E-001	-7,999195098818712E-002	8,620799782220274E+000	1,000000000000000E+000
-1,9251539E-001	-8,096567002576238E-002	8,637799781790818E+000	1,000000000000000E+000
-1,9422272E-001	-8,178261178909430E-002	8,654799781361362E+000	1,000000000000000E+000
-1,9592896E-001	-8,278463753958887E-002	8,671799780931906E+000	1,000000000000000E+000
-1,9763248E-001	-8,374643260321984E-002	8,688799780502450E+000	1,000000000000000E+000
-1,9916424E-001	-8,468958804419680E-002	8,704299780110887E+000	1,000000000000000E+000
-1,9996855E-001	-8,657725900411606E-002	8,711199779936578E+000	1,000000000000000E+000
-1,9981949E-001	-8,116952516138554E-002	8,712199779911316E+000	1,000000000000000E+000
-1,9892286E-001	-6,734051450985068E-002	8,721199779683957E+000	1,000000000000000E+000
-1,9721650E-001	-5,603236107526743E-002	8,738199779254501E+000	1,000000000000000E+000
-1,9553030E-001	-4,881131014735718E-002	8,755199778825045E+000	1,000000000000000E+000
-1,9380791E-001	-4,333412328378461E-002	8,772199778395589E+000	1,000000000000000E+000
-1,9210164E-001	-3,861129431425059E-002	8,789199777966132E+000	1,000000000000000E+000
-1,9040793E-001	-3,443478144072276E-002	8,806199777536676E+000	1,000000000000000E+000
-1,8871252E-001	-3,048626968029577E-002	8,823199777107220E+000	1,000000000000000E+000
-1,8700546E-001	-2,714189949711004E-002	8,840199776677764E+000	1,000000000000000E+000
-1,8530613E-001	-2,380021240878694E-002	8,857199776248308E+000	1,000000000000000E+000
-1,8360250E-001	-2,091572676181380E-002	8,874199775818852E+000	1,000000000000000E+000
-1,8190128E-001	-1,793527078916662E-002	8,891199775389396E+000	1,000000000000000E+000
-1,8019691E-001	-1,536760611679713E-002	8,908199774959940E+000	1,000000000000000E+000
-1,7849509E-001	-1,262051887579214E-002	8,925199774530483E+000	1,000000000000000E+000
-1,7681283E-001	-1,030351237432114E-002	8,942199774101027E+000	1,000000000000000E+000
-1,7510827E-001	-7,739126881233446E-003	8,959199773671571E+000	1,000000000000000E+000
-1,7340605E-001	-5,397084433525351E-003	8,976199773242115E+000	1,000000000000000E+000
-1,7169848E-001	-3,228802041348899E-003	8,993199772812659E+000	1,000000000000000E+000
-1,7001063E-001	-1,163047825166071E-003	9,010199772383203E+000	1,000000000000000E+000
-1,6830188E-001	1,057689921964318E-003	9,027199771953747E+000	1,000000000000000E+000
-1,6660529E-001	3,017638135844457E-003	9,044199771524291E+000	1,000000000000000E+000
-1,6492519E-001	5,004410150831980E-003	9,061199771094834E+000	1,000000000000000E+000
-1,6322276E-001	6,987605697986563E-003	9,078199770665378E+000	1,000000000000000E+000
-1,6151197E-001	8,943082941186772E-003	9,095199770235922E+000	1,000000000000000E+000
-1,5980966E-001	1,078858150185630E-002	9,112199769806466E+000	1,000000000000000E+000
-1,5811904E-001	1,258460442522853E-002	9,129199769377010E+000	1,000000000000000E+000
-1,5642329E-001	1,441907507842190E-002	9,146199768947554E+000	1,000000000000000E+000
-1,5471810E-001	1,617515944326442E-002	9,163199768518098E+000	1,000000000000000E+000
-1,5301615E-001	1,793005059607822E-002	9,180199768088642E+000	1,000000000000000E+000
-1,5131241E-001	1,964083329130520E-002	9,197199767659185E+000	1,000000000000000E+000
-1,5017910E-001	2,122401047187550E-002	9,208499767373723E+000	1,000000000000000E+000
-1,4982097E-001	2,146308636292815E-002	9,211999767285306E+000	2,000000000000000E+000
-1,4892490E-001	2,209047099313477E-002	9,220999767057947E+000	2,000000000000000E+000
-1,4721483E-001	2,383910461776412E-002	9,237999766628491E+000	2,000000000000000E+000
-1,4550990E-001	2,534185005697520E-002	9,254999766199035E+000	2,000000000000000E+000
-1,4381045E-001	2,700524276951910E-002	9,271999765769579E+000	2,000000000000000E+000
-1,4210871E-001	2,875268529896868E-002	9,288999765340122E+000	2,000000000000000E+000
-1,4040951E-001	3,035527632164313E-002	9,305999764910666E+000	2,000000000000000E+000
-1,3872023E-001	3,196054850923269E-002	9,322999764481210E+000	2,000000000000000E+000
-1,3700774E-001	3,365106374076288E-002	9,339999764051754E+000	2,000000000000000E+000
-1,3531235E-001	3,510731418464277E-002	9,356999763622298E+000	2,000000000000000E+000
-1,3359869E-001	3,673702911692112E-002	9,373999763192842E+000	2,000000000000000E+000
-1,3189591E-001	3,831845614695362E-002	9,390999762763386E+000	2,000000000000000E+000
-1,3020423E-001	3,993028858894865E-002	9,407999762333930E+000	2,000000000000000E+000
-1,2849678E-001	4,155314735908186E-002	9,424999761904473E+000	2,000000000000000E+000
-1,2679817E-001	4,318524526934221E-002	9,441999761475017E+000	2,000000000000000E+000
-1,2512153E-001	4,471332679531814E-002	9,458999761045561E+000	2,000000000000000E+000
-1,2345481E-001	4,626286463644663E-002	9,475999760616105E+000	2,000000000000000E+000
-1,2174365E-001	4,785651581914829E-002	9,492999760186649E+000	2,000000000000000E+000
-1,2004074E-001	4,936909601019590E-002	9,509999759757193E+000	2,000000000000000E+000
-1,1834475E-001	5,098420620015542E-002	9,526999759327737E+000	2,000000000000000E+000
-1,1663337E-001	5,274327050938182E-002	9,543999758898281E+000	2,000000000000000E+000
-1,1493272E-001	5,434139367935137E-002	9,560999758468824E+000	2,000000000000000E+000
-1,1323447E-001	5,569601234492449E-002	9,577999758039368E+000	2,000000000000000E+000
-1,1152654E-001	5,734986647621587E-002	9,594999757609912E+000	2,000000000000000E+000
-1,0983547E-001	5,902667032933118E-002	9,611999757180456E+000	2,000000000000000E+000
-1,0812097E-001	6,066472886777807E-002	9,628999756751000E+000	2,000000000000000E+000
-1,0642247E-001	6,227626138570508E-002	9,645999756321544E+000	2,000000000000000E+000
-1,0472291E-001	6,383354805075214E-002	9,662999755892088E+000	2,000000000000000E+000
-1,0304102E-001	6,537980579378241E-002	9,679999755462632E+000	2,000000000000000E+000
-1,0132557E-001	6,704409459052854E-002	9,696999755033175E+000	2,000000000000000E+000
-1,0022088E-001	6,808099285990488E-002	9,707999754755292E+000	2,000000000000000E+000
-9,9963844E-002	6,814895756542683E-002	9,710999754679506E+000	2,000000000000000E+000
-9,9803321E-002	7,262202352285385E-002	9,711399754669401E+000	2,000000000000000E+000
-1,0072361E-001	4,734596245725711E-002	9,720399754442042E+000	2,000000000000000E+000
-1,0242653E-001	3,035974613339926E-002	9,737399754012586E+000	2,000000000000000E+000
-1,0411917E-001	2,014065644198137E-002	9,754399753583130E+000	2,000000000000000E+000
