EC-Lab ASCII FILE
Nb header lines : 61                          

Cyclic Voltammetry

Run on channel : 1 (SN 1153)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Ewe,I filtering : 50 kHz
Safety Limits :
	Do not start on E overload
Channel : Grounded
Acquisition started on : 12/20/2024 11:49:19.340
Technique started on : 12/20/2024 11:49:21.345
Loaded Setting File :  C:\Users\lab10\Desktop\Andraž Stariha\T20-6_ED-PP-Fe-1-1.5V-50-10-60m\6 CV for ECSA.mps
Saved on :
	File : 4 CV for ECSA_03_CV_C01.mpr
	Directory : C:\Users\lab10\Desktop\Andraž Stariha\IMT16-Fe-3_ED-PP-Co-1-1.5V-50-10-60m\
	Host : 178.172.20.122
Device : SP-200 (SN 0067)
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.52 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0,241 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Volume (V) : 0,001 cm³
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0,150              
vs.                 Ref                 
dE/dt               300,000             
dE/dt unit          mV/s                
E1 (V)              0,050               
vs.                 Ei                  
Step percent        85                  
N                   17                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             10 mA               
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   
E2 (V)              -0,050              
vs.                 Ei                  
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Ei                  

Ewe/V	<I>/mA	time/s	cycle number	
-1,4990123E-001	2,367577701807022E-002	2,004599949359545E+000	1,000000000000000E+000
-1,4902332E-001	1,962969130034681E-002	2,007599949283758E+000	1,000000000000000E+000
-1,4730223E-001	2,468392065849106E-002	2,013299949139764E+000	1,000000000000000E+000
-1,4561607E-001	3,086843370611975E-002	2,018899948998296E+000	1,000000000000000E+000
-1,4390770E-001	3,636572995282450E-002	2,024599948854302E+000	1,000000000000000E+000
-1,4219727E-001	4,102194293820370E-002	2,030299948710308E+000	1,000000000000000E+000
-1,4052947E-001	4,587121482742340E-002	2,035899948568840E+000	1,000000000000000E+000
-1,3881998E-001	5,025740996279648E-002	2,041599948424846E+000	1,000000000000000E+000
-1,3710073E-001	5,433411840230878E-002	2,047299948280852E+000	1,000000000000000E+000
-1,3541836E-001	5,791455515605396E-002	2,052899948139384E+000	1,000000000000000E+000
-1,3369356E-001	6,163926550904697E-002	2,058599947995390E+000	1,000000000000000E+000
-1,3199736E-001	6,511709958431344E-002	2,064299947851396E+000	1,000000000000000E+000
-1,3032272E-001	6,910940983059992E-002	2,069899947709928E+000	1,000000000000000E+000
-1,2860909E-001	7,214074346288379E-002	2,075599947565934E+000	1,000000000000000E+000
-1,2689374E-001	7,543946202673035E-002	2,081299947421940E+000	1,000000000000000E+000
-1,2524195E-001	7,916613772114833E-002	2,086899947280472E+000	1,000000000000000E+000
-1,2352677E-001	8,233482233033795E-002	2,092599947136478E+000	1,000000000000000E+000
-1,2182068E-001	8,564313306339599E-002	2,098299946992483E+000	1,000000000000000E+000
-1,2014972E-001	8,869229212480922E-002	2,103899946851016E+000	1,000000000000000E+000
-1,1844036E-001	9,236162659027092E-002	2,109599946707021E+000	1,000000000000000E+000
-1,1671826E-001	9,502869741764808E-002	2,115299946563027E+000	1,000000000000000E+000
-1,1505055E-001	9,853495551538394E-002	2,120899946421559E+000	1,000000000000000E+000
-1,1333154E-001	1,014772417631602E-001	2,126599946277565E+000	1,000000000000000E+000
-1,1162774E-001	1,046177317718198E-001	2,132299946133571E+000	1,000000000000000E+000
-1,0995245E-001	1,080406220479984E-001	2,137899945992103E+000	1,000000000000000E+000
-1,0822602E-001	1,109251984738739E-001	2,143599945848109E+000	1,000000000000000E+000
-1,0652309E-001	1,141142211940704E-001	2,149299945704115E+000	1,000000000000000E+000
-1,0484230E-001	1,175575905147488E-001	2,154899945562647E+000	1,000000000000000E+000
-1,0312013E-001	1,203643498788904E-001	2,160599945418653E+000	1,000000000000000E+000
-1,0141396E-001	1,236855883498382E-001	2,166299945274659E+000	1,000000000000000E+000
-1,0026643E-001	1,255591535591520E-001	2,170099945178663E+000	1,000000000000000E+000
-9,9895045E-002	1,307623833417892E-001	2,171199945150875E+000	1,000000000000000E+000
-9,9814788E-002	1,252306699752808E-001	2,171599945140770E+000	1,000000000000000E+000
-1,0071568E-001	8,868169660180947E-002	2,174499945067510E+000	1,000000000000000E+000
-1,0241094E-001	5,869512898649343E-002	2,180199944923515E+000	1,000000000000000E+000
-1,0413440E-001	4,041295829652158E-002	2,185899944779521E+000	1,000000000000000E+000
-1,0580239E-001	2,574293242583681E-002	2,191499944638053E+000	1,000000000000000E+000
-1,0753742E-001	1,403560496846004E-002	2,197199944494059E+000	1,000000000000000E+000
-1,0923838E-001	4,302016152935989E-003	2,202899944350065E+000	1,000000000000000E+000
-1,1092484E-001	-4,804492324035861E-003	2,208499944208597E+000	1,000000000000000E+000
-1,1263646E-001	-1,287470642700309E-002	2,214199944064603E+000	1,000000000000000E+000
-1,1433429E-001	-1,911280523226772E-002	2,219899943920609E+000	1,000000000000000E+000
-1,1601961E-001	-2,554953163430429E-002	2,225499943779141E+000	1,000000000000000E+000
-1,1774383E-001	-3,185718767515655E-002	2,231199943635147E+000	1,000000000000000E+000
-1,1944322E-001	-3,705382735050204E-002	2,236899943491153E+000	1,000000000000000E+000
-1,2111787E-001	-4,156823001971183E-002	2,242499943349685E+000	1,000000000000000E+000
-1,2283391E-001	-4,685007456086709E-002	2,248199943205691E+000	1,000000000000000E+000
-1,2454820E-001	-5,123285469178662E-002	2,253899943061697E+000	1,000000000000000E+000
-1,2621520E-001	-5,531912819693663E-002	2,259499942920229E+000	1,000000000000000E+000
-1,2791672E-001	-5,896999108993506E-002	2,265199942776235E+000	1,000000000000000E+000
-1,2962748E-001	-6,255700383405394E-002	2,270899942632241E+000	1,000000000000000E+000
-1,3130292E-001	-6,641437854678167E-002	2,276499942490773E+000	1,000000000000000E+000
-1,3299701E-001	-6,948247730178969E-002	2,282199942346779E+000	1,000000000000000E+000
-1,3472071E-001	-7,239754542630758E-002	2,287899942202785E+000	1,000000000000000E+000
-1,3640033E-001	-7,560213661512247E-002	2,293499942061317E+000	1,000000000000000E+000
-1,3811709E-001	-7,863917299087297E-002	2,299199941917323E+000	1,000000000000000E+000
-1,3982631E-001	-8,068665663207253E-002	2,304899941773328E+000	1,000000000000000E+000
-1,4150585E-001	-8,364679776369244E-002	2,310499941631861E+000	1,000000000000000E+000
-1,4320894E-001	-8,655086101106652E-002	2,316199941487866E+000	1,000000000000000E+000
-1,4492626E-001	-8,884860578432877E-002	2,321899941343872E+000	1,000000000000000E+000
-1,4660983E-001	-9,093766224827071E-002	2,327499941202404E+000	1,000000000000000E+000
-1,4832267E-001	-9,367387044767372E-002	2,333199941058410E+000	1,000000000000000E+000
-1,5000558E-001	-9,609051708237204E-002	2,338799940916942E+000	1,000000000000000E+000
-1,5171757E-001	-9,753475743572237E-002	2,344499940772948E+000	1,000000000000000E+000
-1,5342031E-001	-1,003331209784069E-001	2,350099940631480E+000	1,000000000000000E+000
-1,5510845E-001	-1,024483348334724E-001	2,355799940487486E+000	1,000000000000000E+000
-1,5681885E-001	-1,041742440451072E-001	2,361499940343492E+000	1,000000000000000E+000
-1,5851672E-001	-1,063834044325629E-001	2,367099940202024E+000	1,000000000000000E+000
-1,6020544E-001	-1,086359424510963E-001	2,372799940058030E+000	1,000000000000000E+000
-1,6192077E-001	-1,097271680498829E-001	2,378499939914036E+000	1,000000000000000E+000
-1,6360915E-001	-1,122337528515212E-001	2,384099939772568E+000	1,000000000000000E+000
-1,6531764E-001	-1,139006273588166E-001	2,389799939628574E+000	1,000000000000000E+000
-1,6702786E-001	-1,152603061243469E-001	2,395499939484580E+000	1,000000000000000E+000
-1,6870804E-001	-1,174857130061824E-001	2,401099939343112E+000	1,000000000000000E+000
-1,7041111E-001	-1,190163737147274E-001	2,406799939199118E+000	1,000000000000000E+000
-1,7211521E-001	-1,208958893376222E-001	2,412499939055124E+000	1,000000000000000E+000
-1,7380632E-001	-1,224918193372466E-001	2,418099938913656E+000	1,000000000000000E+000
-1,7551816E-001	-1,240969112483210E-001	2,423799938769662E+000	1,000000000000000E+000
-1,7721795E-001	-1,256321257301516E-001	2,429499938625668E+000	1,000000000000000E+000
-1,7891076E-001	-1,276865653484562E-001	2,435099938484200E+000	1,000000000000000E+000
-1,8060485E-001	-1,290938124494943E-001	2,440799938340206E+000	1,000000000000000E+000
-1,8231831E-001	-1,303690638273514E-001	2,446499938196212E+000	1,000000000000000E+000
-1,8400659E-001	-1,322631287734510E-001	2,452099938054744E+000	1,000000000000000E+000
-1,8571787E-001	-1,337664299622134E-001	2,457799937910750E+000	1,000000000000000E+000
-1,8742412E-001	-1,352578989085650E-001	2,463499937766755E+000	1,000000000000000E+000
-1,8909946E-001	-1,370580029022809E-001	2,469099937625288E+000	1,000000000000000E+000
-1,9079553E-001	-1,382600421515789E-001	2,474799937481293E+000	1,000000000000000E+000
-1,9251366E-001	-1,400457066575416E-001	2,480499937337299E+000	1,000000000000000E+000
-1,9418839E-001	-1,409973226249417E-001	2,486099937195831E+000	1,000000000000000E+000
-1,9592111E-001	-1,435540723586399E-001	2,491799937051837E+000	1,000000000000000E+000
-1,9762430E-001	-1,444788571232623E-001	2,497499936907843E+000	1,000000000000000E+000
-1,9908129E-001	-1,457648560070081E-001	2,502399936784059E+000	1,000000000000000E+000
-1,9982332E-001	-1,433060765266418E-001	2,504799936723430E+000	1,000000000000000E+000
-1,9989209E-001	-1,424667835235596E-001	2,504999936718377E+000	1,000000000000000E+000
-1,9982331E-001	-1,349131166934967E-001	2,505399936708272E+000	1,000000000000000E+000
-1,9892292E-001	-1,117660668608518E-001	2,508299936635012E+000	1,000000000000000E+000
-1,9721374E-001	-8,923235364076931E-002	2,513999936491018E+000	1,000000000000000E+000
-1,9550434E-001	-7,564381271367870E-002	2,519699936347024E+000	1,000000000000000E+000
-1,9382554E-001	-6,496044889489061E-002	2,525299936205556E+000	1,000000000000000E+000
-1,9210145E-001	-5,647704502721007E-002	2,530999936061562E+000	1,000000000000000E+000
-1,9039384E-001	-4,893326896503669E-002	2,536699935917568E+000	1,000000000000000E+000
-1,8870993E-001	-4,146790907004641E-002	2,542299935776100E+000	1,000000000000000E+000
-1,8701102E-001	-3,558339998842425E-002	2,547999935632106E+000	1,000000000000000E+000
-1,8529283E-001	-3,039597464966270E-002	2,553699935488112E+000	1,000000000000000E+000
-1,8361422E-001	-2,465795407314753E-002	2,559299935346644E+000	1,000000000000000E+000
-1,8188417E-001	-1,984585657065985E-002	2,564999935202650E+000	1,000000000000000E+000
-1,8018995E-001	-1,541650820676022E-002	2,570699935058656E+000	1,000000000000000E+000
-1,7851050E-001	-1,057147781042050E-002	2,576299934917188E+000	1,000000000000000E+000
-1,7680557E-001	-6,084767570130739E-003	2,581999934773194E+000	1,000000000000000E+000
-1,7509039E-001	-2,402465080487445E-003	2,587699934629200E+000	1,000000000000000E+000
-1,7341438E-001	1,989005295914441E-003	2,593299934487732E+000	1,000000000000000E+000
-1,7171659E-001	5,662449071398720E-003	2,598999934343738E+000	1,000000000000000E+000
-1,7000274E-001	9,010695246211620E-003	2,604699934199743E+000	1,000000000000000E+000
-1,6833289E-001	1,292176016465457E-002	2,610299934058276E+000	1,000000000000000E+000
-1,6660953E-001	1,648306325758037E-002	2,615999933914281E+000	1,000000000000000E+000
-1,6491647E-001	1,961493740694747E-002	2,621699933770287E+000	1,000000000000000E+000
-1,6323900E-001	2,366517804976964E-002	2,627299933628819E+000	1,000000000000000E+000
-1,6151378E-001	2,652380713446367E-002	2,632999933484825E+000	1,000000000000000E+000
-1,5980831E-001	2,967589855203812E-002	2,638699933340831E+000	1,000000000000000E+000
-1,5813449E-001	3,306063689497374E-002	2,644299933199363E+000	1,000000000000000E+000
-1,5642957E-001	3,589766155584184E-002	2,649999933055369E+000	1,000000000000000E+000
-1,5469746E-001	3,910879863434724E-002	2,655699932911375E+000	1,000000000000000E+000
-1,5303202E-001	4,236849049252847E-002	2,661299932769907E+000	1,000000000000000E+000
-1,5132634E-001	4,520548922888484E-002	2,666999932625913E+000	1,000000000000000E+000
-1,5016425E-001	4,789138347041444E-002	2,670799932529917E+000	1,000000000000000E+000
-1,4983243E-001	4,702347889542580E-002	2,671999932499602E+000	2,000000000000000E+000
-1,4893399E-001	4,970244422966752E-002	2,674899932426342E+000	2,000000000000000E+000
-1,4721496E-001	5,293083240870244E-002	2,680599932282348E+000	2,000000000000000E+000
-1,4549990E-001	5,547296239604296E-002	2,686299932138354E+000	2,000000000000000E+000
-1,4380814E-001	5,838648021448600E-002	2,691899931996886E+000	2,000000000000000E+000
-1,4211181E-001	6,104941225958821E-002	2,697599931852892E+000	2,000000000000000E+000
-1,4040549E-001	6,371191322169700E-002	2,703299931708898E+000	2,000000000000000E+000
-1,3872787E-001	6,654842149415630E-002	2,708899931567430E+000	2,000000000000000E+000
-1,3700248E-001	6,973216901846757E-002	2,714599931423436E+000	2,000000000000000E+000
